City,State,2009,2010,2011,2012,2013,2014,2015,2016,2017
Alliance, NE,29222365.66,29543715.06,29497798.01,30503665.21,31728421.89,31916120.82,31390088.9,30786497.56,28024149.72
Alliance, OH,131083082.5,133763375,132297026.8,132512689,128198141.9,128965557.2,123241367.2,117418256.5,104275652.3
Alma, GA,41741788.53,45446730.1,42213025.75,33544553.18,28397369.14,25004449.36,22284377.25,20044020.43,18165509.72
Alma--St. Louis, MI,145384005.5,146537696.6,144258402.2,144838909.4,145243229.9,140974762,135147894.9,128670233.6,119122110.1
Almont, MI,16365412.11,17046804.66,16873272.57,16904838.96,16914983.04,16532957.08,15954389,15252014.92,14151266.17
Alpena, MI,72653521.39,72791060.47,70403271.18,69659875.56,69005245.91,66347329.6,62906070.35,59044465.84,53814747.13
Alpine, TX,20597614.77,20230710.44,17529243.05,15624010.9,14495295.46,14632729.49,14621418.12,14629845.98,14267431.29
Altavista, VA,86165284.25,88190006.72,90988709.76,98519530.24,104381207.6,104752810,101492132.5,93999422.01,80965090.38
Alton, IL,505973591.5,459263743.5,398084208.2,387857970,394628152.6,396472615.2,409341914.7,422243912.8,437215192
Altoona, PA,308094570.5,339244313.8,372422398.7,392075728.7,406184231.4,427577280.6,439941210.4,458054977.8,475603502.3
Alturas, CA,47249580.26,48355584.41,31582146.53,22763028.93,20068990.76,19411771.96,18195480.58,16610426.4,14038303.18
Altus, OK,31594260.34,32450748.15,32685304.18,33387253.75,33107637.13,34235863.53,34012891.66,33192938.13,29264369.06
Alva, OK,32827560.19,34209169.38,34318268,36457015.76,38111515.15,39851335.71,39594704.14,38818136.14,36439764.29
Alvarado, TX,177786492.5,176687933.9,175045107.1,176515059,178920900.8,185590840.8,187866140.6,190370094.5,186118378.3
Amarillo, TX,1072785506,1128302016,1171848944,1161525645,1136672555,1139690020,1118058997,1111118248,1072044418
American Falls, ID,52555568.11,54632380.34,52846801.7,54037226.22,55726970.92,57624990.21,58421326.89,56778817.86,53067620.38
Americus, GA,112126013.1,110799641.7,107437833.1,106519754.3,108804151.3,107632865.9,106149160,101536625.6,94823654.29
Amery, WI,13848244.16,12276836.39,9738639.585,8329344.747,7458436.001,6926495.318,6273416.406,5697707.051,4827545.969
Ames, IA,342756086.1,354090206.9,354448318.4,362600193.5,380282922.5,395039377.8,406775324.3,413000671.8,410358472.1
Amite City, LA,113882462.2,121691416.8,124407801.9,124369742.8,129021765.1,128013011.8,128844911.5,130319606.9,133996693.3
Amory, MS,58298115.64,59997963.92,56543595.72,54147147.76,54051494.11,53638045.28,54303667.5,56181195.61,58604023.82
Amsterdam, NY,121391473,138580452.6,143832965.3,141898878.2,138831603.7,136308802.4,131711388.9,126834089.5,112523679.2
Anaconda-Deer Lodge County, MT,23107334.25,24502910.39,24880878.55,25199645.51,26495770.19,26970815.69,27591889.54,26793366.87,25234617.22
Anacortes, WA,48767842.83,52029990.22,54845953.76,56366923.91,55228077.77,53836872.15,50200943.8,45361606.82,39368617.7
