City,Area,population2010,population2011,population2012,population2013,population2014,population2015,population2016,population2017,personpersqmile2010,personpersqmile2011,personpersqmile2012,personpersqmile2013,personpersqmile2014,personpersqmile2015,personpersqmile2016,personpersqmile2017,emissionperperson2010,emissionperperson2011,emissionperperson2012,emissionperperson2013,emissionperperson2014,emissionperperson2015,emissionperperson2016,emissionperperson2017,cleanEPP2010,cleanEPP2011,cleanEPP2012,cleanEPP2013,cleanEPP2014,cleanEPP2015,cleanEPP2016,cleanEPP2017
Nashville-Davidson,476,601222,612518,625550,635999,645259,655498,661765,663587,1263,1287,1314,1336,1356,1377,1390,1394,7727.061598,7600.375333,7453.335294,7569.251535,7707.893209,8057.000325,8775.887472,9779.223069,7727,7600,7453,7569,7708,8057,8776,9779
Detroit,139,713777,705118,700183,691868,682609,679410,677143,674631,5135,5073,5037,4977,4911,4888,4872,4853,5296.632866,5190.637228,5201.191634,5306.798859,5352.838864,5449.160226,5743.51862,6132.982186,5297,5191,5201,5307,5353,5449,5744,6133
Oklahoma City,606,579999,590947,600971,612061,621639,632172,639924,642822,957,975,992,1010,1026,1043,1056,1061,7978.272242,7878.924205,7704.016583,7300.85988,7397.181253,7507.362647,8112.026114,8559.521698,7978,7879,7704,7301,7397,7507,8112,8560
Portland,134,583776,595451,604264,609890,620510,631366,642720,647924,4357,4444,4509,4551,4631,4712,4796,4835,4711.030668,4450.492423,4302.248618,4180.807037,4231.916944,4374.012444,4810.196558,5146.883895,4711,4450,4302,4181,4232,4374,4810,5147
Las Vegas,134,583756,586606,593275,599551,607976,617487,626538,635262,4356,4378,4427,4474,4537,4608,4676,4741,5336.2199,5257.487828,5203.524008,5445.469942,5186.050734,5208.711212,5334.96717,5400.263603,5336,5257,5204,5445,5186,5209,5335,5400
Memphis,317,646889,655341,658786,657146,654990,654106,652548,650878,2041,2067,2078,2073,2066,2063,2059,2053,6317.047421,6074.981533,5965.84813,6110.71371,6245.328955,6519.927379,6975.897042,7480.875614,6317,6075,5966,6111,6245,6520,6976,7481
Louisville/Jefferson County,264,597337,599920,604246,610471,612634,615372,617583,619728,2263,2272,2289,2312,2321,2331,2339,2347,4979.332738,4831.904757,4615.294383,4602.853749,4692.478643,4898.221331,5258.951645,5868.082625,4979,4832,4615,4603,4692,4898,5259,5868
Baltimore,81,620961,620410,622895,622391,623587,622522,616226,610481,7666,7659,7690,7684,7699,7685,7608,7537,3543.586191,3417.317988,3462.77851,3394.168939,3479.917086,3499.273955,3569.657549,3644.360607,3544,3417,3463,3394,3480,3499,3570,3644
Milwaukee,96,594833,597086,598569,599916,600664,600477,596996,593725,6196,6220,6235,6249,6257,6255,6219,6185,3870.615205,3452.562991,3254.348159,3132.100997,3248.771147,3500.403048,4064.924159,4707.668154,3871,3453,3254,3132,3249,3500,4065,4708
Albuquerque,188,545852,552066,555002,557445,557444,557937,559192,559673,2903,2937,2952,2965,2965,2968,2974,2977,4328.237557,4335.385927,4618.785001,4854.344961,5016.541461,5182.998385,5587.180868,5857.360058,4328,4335,4619,4854,5017,5183,5587,5857
