"City, State",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Manchester , New Hampshire","109,565","110,281","110,888","111,008","111,198","111,275","111,903","112,235","112,492","112,673"
"Pueblo , Colorado","106,595","107,146","107,476","107,670","107,823","108,955","110,118","111,059","111,725","112,361"
"Lakeland , Florida","97,422","98,834","99,000","100,326","102,034","103,550","105,837","107,712","110,421","112,136"
"Pompano Beach , Florida","99,845","101,756","102,888","104,183","105,500","106,937","109,358","110,354","111,636","112,118"
"West Palm Beach , Florida","99,919","101,498","102,526","103,420","104,314","106,850","108,740","110,328","111,058","111,955"
"Antioch , California","102,372","104,193","105,565","107,351","109,071","110,308","111,088","111,494","111,578","111,502"
"Everett , Washington","103,019","103,445","104,436","105,048","106,460","107,077","108,931","110,169","111,088","111,475"
"Downey , California","111,772","112,215","112,582","112,858","113,091","113,260","112,896","112,426","111,915","111,126"
"Lowell , Massachusetts","106,519","107,774","108,803","109,757","110,537","111,142","111,226","111,738","111,362","110,997"
"Centennial , Colorado","100,377","102,508","104,249","106,634","107,438","109,120","109,735","110,388","110,814","110,937"
"Elgin , Illinois","108,188","109,225","109,710","110,149","111,059","111,992","112,265","112,103","111,490","110,849"
"Richmond , California","103,701","104,882","106,023","107,083","107,921","109,062","109,663","109,860","110,189","110,567"
"Peoria , Illinois","115,007","115,426","115,798","116,646","115,955","115,183","114,227","112,618","111,449","110,417"
"Broken Arrow , Oklahoma","98,850","100,199","102,179","103,603","104,944","106,842","107,884","108,395","109,068","110,198"
"Miami Gardens , Florida","107,167","108,859","110,056","110,842","110,943","111,561","111,884","112,220","111,144","110,001"
"Billings , Montana","104,170","105,458","106,765","108,561","108,434","109,599","109,620","109,797","109,444","109,577"
"Jurupa Valley , California",(X),"97,195","98,350","99,469","100,080","101,460","103,240","105,760","108,314","109,527"
"Sandy Springs , Georgia","93,853","96,677","98,882","99,377","101,371","104,789","105,578","106,634","108,846","109,452"
"Gresham , Oregon","105,594","107,720","108,779","109,221","110,029","110,378","111,762","111,243","109,808","109,381"
"Lewisville , Texas","95,290","97,636","99,703","101,156","102,963","103,956","105,030","106,439","106,938","109,212"
"Hillsboro , Oregon","91,611","94,274","96,343","98,160","99,827","102,550","105,374","107,433","108,201","109,128"
"San Buenaventura (Ventura) , California","106,433","108,306","109,002","109,339","109,535","109,668","109,893","110,093","110,731","109,106"
"Greeley , Colorado","92,889","94,466","95,597","96,848","99,055","101,763","104,751","106,780","107,475","108,649"
"Inglewood , California","109,673","110,501","110,866","110,954","110,840","110,693","110,271","109,907","109,038","108,151"
"Waterbury , Connecticut","110,366","110,074","110,019","109,733","109,524","108,993","108,453","108,277","108,123","107,568"
"League  , Texas","83,560","86,278","88,242","90,790","94,121","97,860","101,669","104,442","106,005","107,536"
"Santa Maria , California","99,553","100,293","101,116","102,057","103,021","104,462","105,811","106,298","107,218","107,263"
"Tyler , Texas","96,900","98,015","98,941","99,730","101,557","102,712","103,904","104,738","105,668","106,985"
"Davie town, Florida","91,992","94,455","95,776","97,599","99,179","101,229","103,255","105,136","106,131","106,306"
"Daly  , California","101,123","102,460","103,915","104,980","105,887","106,538","106,882","106,733","106,869","106,280"
"Boulder , Colorado","97,385","100,137","101,160","102,719","104,451","106,742","107,128","106,447","106,008","105,673"
"Allen , Texas","84,246","87,680","89,812","92,173","94,215","98,344","99,742","101,214","103,577","105,623"
"West Covina , California","106,098","106,721","107,082","107,348","107,447","107,540","107,437","106,942","105,964","105,101"
"Sparks , Nevada","90,264","91,616","92,406","93,317","94,561","95,759","98,068","100,048","103,979","105,006"
"Wichita Falls , Texas","104,553","103,966","104,628","104,948","105,208","103,892","104,075","104,325","104,356","104,683"
"Green Bay , Wisconsin","104,057","104,302","104,621","104,593","104,635","104,792","104,721","104,977","104,833","104,578"
"San Mateo , California","97,207","98,518","99,816","101,323","102,695","103,509","104,357","104,389","104,885","104,430"
"Norwalk , California","105,549","105,903","105,976","106,122","106,189","106,237","105,844","105,466","104,798","103,949"
"Rialto , California","99,171","100,563","101,278","101,547","102,031","102,485","102,896","103,234","103,232","103,526"
"Las Cruces , New Mexico","97,618","100,212","101,045","101,238","101,192","101,113","101,313","101,963","102,812","103,432"
"Chico , California","86,187","87,269","87,915","88,362","89,491","90,369","91,564","93,066","94,342","103,301"
"El Cajon , California","99,478","100,795","101,537","102,303","102,789","103,230","103,527","103,468","103,041","102,708"
"Burbank , California","103,340","103,732","104,077","104,355","104,405","104,472","104,097","104,174","103,349","102,511"
"South Bend , Indiana","101,168","101,224","101,056","101,226","101,489","101,687","101,996","102,021","101,971","102,026"
"Renton , Washington","90,927","94,131","95,941","97,090","98,588","100,455","101,513","101,981","101,787","101,751"
"Vista , California","93,834","94,355","95,307","96,211","96,999","99,623","100,746","100,740","100,784","101,638"
"Davenport , Iowa","99,685","100,302","101,165","102,053","102,471","102,534","102,456","102,310","101,918","101,590"
"Edinburg , Texas","77,100","84,796","86,263","88,355","90,342","91,780","92,776","95,427","98,036","101,170"
"Tuscaloosa , Alabama","90,468","90,913","92,307","93,886","95,688","97,576","98,428","99,629","100,190","101,129"
"Carmel , Indiana","79,191","86,508","88,566","90,947","91,569","92,998","96,114","97,400","99,143","101,068"
"Spokane Valley , Washington","89,755","90,665","90,659","91,240","92,569","94,163","95,652","97,570","99,308","101,060"
"San Angelo , Texas","93,200","94,532","95,841","97,057","98,567","99,704","99,790","99,678","100,009","101,004"
"Vacaville , California","92,428","93,225","93,660","94,023","95,394","96,224","97,994","99,604","99,949","100,670"
"Bend , Oregon","76,639","77,575","78,617","80,906","83,526","86,277","90,665","94,557","97,620","100,421"
"Kenosha , Wisconsin","99,218","99,560","99,859","99,704","99,728","99,479","99,388","99,785","99,908","99,944"
"Boca Raton , Florida","84,392","86,460","87,646","89,689","91,276","93,498","96,427","98,236","99,351","99,805"
"Lee's Summit , Missouri","91,364","91,920","92,376","92,968","93,727","94,871","96,034","97,169","98,522","99,357"
"Nampa , Idaho","81,557","82,716","83,941","86,377","87,894","89,527","91,114","93,707","96,213","99,277"
"Rio Rancho , New Mexico","87,521","89,499","90,444","91,334","91,963","93,116","94,511","96,285","97,982","99,178"
"South Fulton , Georgia",(X),"88,696","91,019","91,757","92,494","93,516","95,264","96,078","97,278","99,155"
"Roanoke , Virginia","97,032","96,782","98,011","98,849","99,427","99,669","99,337","98,986","99,009","99,143"
"Beaverton , Oregon","89,803","91,569","92,558","93,279","94,714","95,863","97,738","97,824","98,775","99,037"
"Yuma , Arizona","93,064","94,241","93,701","92,998","93,624","94,155","95,259","96,399","97,648","98,285"
"Lawrence , Kansas","87,643","89,301","90,118","91,348","92,881","94,207","95,655","96,637","97,187","98,193"
"Orem , Utah","88,328","89,605","90,578","91,318","91,362","93,777","96,902","97,674","97,430","97,828"
"Longmont , Colorado","86,270","87,691","88,903","90,221","90,623","92,280","93,269","94,637","96,536","97,261"
"San Marcos , California","83,781","85,001","86,816","89,423","92,372","93,199","94,932","95,614","96,480","96,664"
"Albany , New York","97,856","97,956","98,409","98,488","98,366","98,232","97,941","97,735","97,011","96,460"
"Sandy , Utah","87,461","91,076","91,929","92,599","93,341","94,537","96,444","96,406","96,737","96,380"
"Concord , North Carolina","79,066","80,725","82,134","83,416","85,395","87,490","89,763","92,164","94,192","96,341"
"Federal Way , Washington","89,306","90,664","91,913","92,632","93,421","95,254","97,131","97,274","96,726","96,289"
"Hesperia , California","90,173","91,168","91,568","91,777","92,071","92,653","93,251","94,473","95,013","95,750"
"Brockton , Massachusetts","93,810","94,117","94,050","94,361","94,858","95,425","95,441","95,682","95,723","95,708"
"Compton , California","96,455","96,933","97,350","97,600","97,634","97,639","97,281","97,047","96,348","95,605"
"Flint , Michigan","102,434","101,256","100,233","99,479","98,617","97,823","97,110","96,460","95,926","95,538"
"Erie , Pennsylvania","101,786","101,511","101,290","100,532","99,714","99,030","98,211","97,214","96,298","95,508"
"New Bedford , Massachusetts","95,072","94,896","94,998","95,065","95,121","95,128","95,135","95,083","95,371","95,363"
"Fishers , Indiana","76,794","80,503","82,389","84,416","86,865","88,656","89,809","91,606","93,407","95,310"
"Sunrise , Florida","84,439","86,303","88,582","89,757","90,661","91,928","93,668","94,274","95,219","95,166"
"Roswell , Georgia","88,346","90,902","93,210","93,661","93,597","93,827","94,549","94,699","94,665","94,763"
"Menifee , California","77,519","79,665","81,026","83,045","84,522","86,411","88,057","90,104","92,249","94,756"
"Tracy , California","82,922","84,302","84,727","84,872","85,713","86,953","89,181","90,701","91,818","94,740"
"Plantation , Florida","84,955","86,874","87,928","90,051","90,968","91,904","92,767","93,824","94,019","94,580"
"Quincy , Massachusetts","92,271","92,544","92,973","93,470","93,685","93,766","94,130","94,322","94,403","94,470"
"Portsmouth , Virginia","95,535","95,748","96,480","96,075","95,829","96,336","95,165","94,838","94,750","94,398"
"Mission Viejo , California","93,305","94,020","94,627","96,003","96,622","96,543","96,149","95,551","94,925","94,381"
"Chino , California","77,983","79,591","79,949","80,799","84,296","85,169","87,468","89,601","91,356","94,371"
"Lynn , Massachusetts","90,329","90,709","91,437","92,025","92,565","93,057","93,185","93,915","94,336","94,299"
"Edmond , Oklahoma","81,405","82,910","84,877","86,926","88,599","90,118","91,388","91,700","92,893","94,054"
"Dearborn , Michigan","98,153","97,173","96,878","96,065","95,973","95,488","95,052","94,708","94,379","93,932"
"Livonia , Michigan","96,942","96,142","95,921","95,239","95,229","94,843","94,507","94,237","94,019","93,665"
"Yakima , Washington","91,067","92,605","92,654","92,713","92,790","92,953","93,429","93,500","93,548","93,637"
"South Gate , California","94,396","94,591","94,577","94,674","94,741","95,597","95,245","94,848","94,135","93,444"
"Greenville , North Carolina","84,554","86,269","87,625","88,847","89,242","90,499","90,966","92,008","92,689","93,400"
"Lawton , Oklahoma","96,867","98,208","98,415","96,977","96,660","95,965","94,117","94,009","92,945","93,025"
"Kirkland , Washington","48,787","82,036","83,358","84,455","85,971","87,312","87,990","89,010","89,909","93,010"
"Asheville , North Carolina","83,393","84,457","85,321","86,355","87,837","89,374","91,123","91,748","92,630","92,870"
"Deltona , Florida","85,182","84,979","85,139","85,583","86,295","87,728","89,314","90,586","91,718","92,757"
"Redding , California","89,861","90,180","90,397","90,773","91,120","90,963","91,203","91,525","91,606","92,590"
"Bellingham , Washington","80,885","81,859","82,299","82,593","83,386","84,998","86,954","89,031","90,464","92,314"
"Suffolk , Virginia","84,585","84,750","85,251","85,751","86,882","88,079","89,194","90,108","90,975","92,108"
"Indio , California","76,036","81,046","82,250","83,358","85,127","86,917","88,196","89,438","90,970","91,765"
"Mount Pleasant town, South Carolina","67,843","69,807","72,172","74,906","77,937","81,617","84,476","87,295","89,869","91,684"
"Carson , California","91,714","91,690","92,162","92,535","92,684","92,752","92,572","92,193","91,626","91,394"
"Santa Barbara , California","88,410","88,605","89,285","90,082","90,815","91,275","91,518","91,517","91,203","91,364"
"Conroe , Texas","56,207","67,352","69,662","70,676","73,779","76,322","82,068","84,809","87,578","91,079"
"Westminster , California","89,701","90,710","91,223","91,624","91,555","91,582","91,510","91,176","90,742","90,643"
"Santa Monica , California","89,736","90,476","91,327","92,050","92,087","92,422","92,176","91,747","91,106","90,401"
"New Braunfels , Texas","57,740","59,319","60,885","63,025","65,902","70,133","73,351","78,902","84,495","90,209"
"Livermore , California","80,968","82,589","83,831","85,448","87,017","88,248","89,572","90,137","90,253","90,189"
"Palm Coast , Florida","75,180","76,641","77,363","78,409","80,027","81,938","84,155","86,146","87,660","89,800"
"St. George , Utah","72,897","73,789","75,010","76,275","77,942","79,574","81,696","84,547","87,113","89,587"
"Fall River , Massachusetts","88,857","88,827","88,852","88,992","89,148","89,258","89,287","89,298","89,630","89,541"
"Nashua , New Hampshire","86,494","86,809","86,927","87,324","87,651","88,271","88,648","88,990","88,871","89,355"
"Champaign , Illinois","81,055","82,330","83,202","84,112","84,953","86,218","87,244","87,839","87,994","88,909"
"Miami Beach , Florida","87,779","88,713","89,566","90,152","90,184","90,570","90,652","90,642","89,808","88,885"
"Norwalk , Connecticut","85,603","86,611","87,257","87,728","88,023","88,248","88,441","88,357","89,061","88,816"
"San Leandro , California","84,950","85,921","86,976","88,074","89,195","90,538","90,706","90,418","89,713","88,815"
"O'Fallon , Missouri","79,329","81,184","82,136","83,136","84,221","85,061","86,449","87,523","88,364","88,673"
"Newton , Massachusetts","85,146","85,827","87,029","87,479","88,269","88,588","88,569","88,836","88,641","88,414"
"Reading , Pennsylvania","88,082","88,195","88,141","88,264","88,171","88,047","88,128","88,134","88,542","88,375"
"Avondale , Arizona","76,238","77,279","78,718","79,745","80,726","81,924","83,288","84,742","85,715","87,931"
"Fort Smith , Arkansas","86,209","87,205","87,624","87,385","87,131","87,677","87,561","87,834","87,720","87,891"
"Citrus Heights , California","83,301","83,781","84,308","84,924","85,665","86,543","87,179","87,675","87,707","87,796"
"Ogden , Utah","82,825","83,312","83,874","84,180","84,406","85,295","86,742","87,061","87,202","87,773"
"Fayetteville , Arkansas","73,580","75,604","76,969","78,652","80,417","82,332","83,620","85,587","86,615","87,590"
"Fort Myers , Florida","62,298","63,818","65,504","67,802","70,449","73,470","76,752","80,015","82,229","87,103"
"Goodyear , Arizona","65,275","66,589","67,822","70,392","72,346","74,815","77,412","79,945","82,873","86,840"
"Bryan , Texas","76,201","77,196","77,832","78,939","80,667","82,052","83,171","84,188","84,817","86,276"
"Waukegan , Illinois","89,078","88,998","88,799","88,897","88,791","88,369","88,157","87,615","86,680","86,075"
"Hawthorne , California","84,293","84,922","85,359","85,863","86,740","87,669","87,685","87,308","86,671","86,068"
"Redwood  , California","76,815","77,970","79,188","81,034","82,741","85,274","85,293","86,394","86,105","85,925"
"Hoover , Alabama","81,619","81,617","82,952","83,581","84,005","84,592","84,895","85,235","85,517","85,768"
"Bloomington , Indiana","80,405","81,497","82,160","82,457","83,162","83,596","84,387","84,837","85,139","85,755"
"Duluth , Minnesota","86,265","86,239","86,162","86,045","86,095","85,985","86,084","85,979","85,856","85,618"
"Lake Forest , California","77,264","78,299","78,727","79,112","79,678","81,964","83,019","83,878","85,381","85,531"
"Hemet , California","78,657","80,226","81,033","81,718","82,541","83,305","84,121","84,809","85,148","85,334"
"Whittier , California","85,331","85,633","85,968","86,326","86,482","86,705","86,600","86,326","85,791","85,098"
"Clifton , New Jersey","84,136","84,690","84,695","84,898","85,141","85,240","85,192","85,267","85,251","85,052"
"Largo , Florida","77,648","79,480","79,738","80,422","80,852","81,903","84,088","84,686","84,937","84,948"
"Bloomington , Minnesota","82,893","83,937","84,867","85,078","85,052","85,190","85,459","85,588","85,474","84,943"
"Danbury , Connecticut","80,893","82,085","82,777","83,577","83,681","84,200","84,927","84,616","84,675","84,694"
"Santa Fe , New Mexico","67,947","81,706","82,144","82,584","82,824","83,117","83,515","83,954","84,211","84,683"
"Johns Creek , Georgia","76,728","79,218","81,852","82,455","82,743","82,980","83,930","84,282","84,320","84,579"
"Newport Beach , California","85,186","86,073","86,522","86,877","86,688","86,585","86,510","85,740","85,074","84,534"
"Kennewick , Washington","73,917","75,585","75,930","76,579","77,339","78,724","80,081","81,621","82,696","84,347"
"Mission , Texas","77,058","79,728","80,920","81,486","82,167","82,823","83,257","83,576","83,958","84,331"
"Milpitas , California","66,790","67,124","68,862","69,944","73,560","77,485","77,829","77,874","80,208","84,196"
"Troy , Michigan","80,980","81,649","82,271","83,007","83,399","83,496","84,092","84,187","84,111","84,092"
"Chino Hills , California","74,799","75,639","76,042","76,285","76,509","77,826","78,452","80,115","83,239","83,853"
"Alhambra , California","83,089","83,594","84,120","84,337","84,786","84,843","85,221","84,878","84,373","83,750"
"Merced , California","78,958","79,705","80,231","80,703","81,120","81,775","82,232","82,589","83,113","83,676"
"Trenton , New Jersey","84,913","84,854","84,631","84,503","84,042","83,519","83,313","83,497","83,604","83,203"
"Franklin , Tennessee","62,487","64,357","66,359","68,876","70,620","72,573","74,695","78,265","81,027","83,097"
"Medford , Oregon","74,907","75,617","76,153","76,840","77,763","78,990","80,174","81,191","82,333","83,072"
"Melbourne , Florida","76,068","76,537","76,854","77,393","78,276","79,323","80,656","81,822","82,603","83,029"
"Manteca , California","67,096","69,244","70,884","71,761","73,157","75,088","76,831","79,079","81,603","83,028"
"Mountain View , California","74,066","75,108","76,507","77,955","79,150","80,345","80,821","81,189","83,168","82,739"
"Sioux  , Iowa","82,684","83,096","82,689","82,608","82,534","82,669","82,748","82,234","82,380","82,651"
"Lynchburg , Virginia","75,568","76,584","77,269","77,940","78,141","79,134","79,710","80,523","81,309","82,168"
"Buena Park , California","80,530","81,553","82,045","82,717","82,621","82,770","82,988","82,619","82,187","81,788"
"Pleasanton , California","70,285","71,133","72,098","74,026","77,454","79,265","82,330","82,831","82,357","81,777"
"Longview , Texas","80,455","81,024","81,190","81,249","81,253","81,717","81,378","80,980","81,191","81,631"
"Westland , Michigan","84,094","83,518","83,334","82,659","82,628","82,321","82,115","81,940","81,752","81,511"
"Auburn , Washington","70,180","71,748","73,474","74,924","76,198","77,479","78,725","81,333","81,789","81,464"
"Cranston , Rhode Island","80,387","80,881","81,066","81,033","81,248","81,306","81,221","81,022","81,335","81,456"
"Somerville , Massachusetts","75,754","76,710","77,620","78,573","78,991","79,715","80,936","81,204","81,357","81,360"
"Folsom , California","72,203","72,542","73,042","72,782","74,950","75,935","76,999","77,798","78,842","81,328"
"Springdale , Arkansas","69,797","72,453","73,712","75,121","76,238","77,524","78,737","79,819","80,907","81,125"
"Deerfield Beach , Florida","75,018","76,504","77,395","78,002","78,565","79,334","79,972","80,525","80,666","81,066"
"Warwick , Rhode Island","82,672","82,049","81,700","81,548","81,710","81,142","81,027","80,820","80,966","81,004"
"Cicero town, Illinois","83,891","84,438","84,569","84,601","84,397","83,884","83,219","82,399","81,477","80,796"
"Farmington Hills , Michigan","79,740","80,345","80,922","81,490","81,744","81,536","81,560","81,426","80,939","80,612"
"Brooklyn Park , Minnesota","75,781","76,883","77,905","78,471","78,816","79,256","79,871","80,322","80,524","80,389"
"Lawrence , Massachusetts","76,377","77,260","77,910","78,382","79,182","79,699","79,818","80,003","80,112","80,028"
"Plymouth , Minnesota","70,576","71,703","73,104","74,096","75,176","76,034","77,341","78,128","79,345","79,768"
"Buckeye , Arizona","50,876","52,486","54,389","56,603","59,100","61,633","64,641","68,534","74,339","79,620"
"Georgetown , Texas","47,400","50,310","52,483","54,831","58,974","63,533","67,028","70,640","74,275","79,604"
"Cedar Park , Texas","48,937","58,840","61,496","64,800","67,161","69,556","72,545","75,559","76,903","79,462"
"Tustin , California","75,540","76,227","77,575","78,122","80,138","80,088","80,245","80,121","79,578","79,348"
"Lakewood , California","80,048","80,413","80,672","80,883","80,927","80,951","80,895","80,510","79,907","79,307"
"Perris , California","68,386","70,426","71,229","72,295","73,485","74,613","76,046","77,563","78,903","79,291"
"Flower Mound town, Texas","64,669","65,982","67,764","68,375","69,525","70,985","73,533","76,700","77,562","79,135"
"Pharr , Texas","70,400","72,142","73,327","74,165","75,348","76,369","77,363","78,649","78,925","79,112"
"Loveland , Colorado","66,859","69,321","70,384","71,337","72,514","74,886","76,399","76,880","77,752","78,877"
"Boynton Beach , Florida","68,217","68,905","70,049","71,305","73,155","74,005","75,877","77,711","77,949","78,679"
"New Rochelle , New York","77,062","77,701","78,328","79,265","79,342","79,419","79,455","79,084","78,822","78,557"
"Temple , Texas","66,102","67,124","68,756","69,544","70,199","71,786","73,003","74,377","76,165","78,439"
"Lake Charles , Louisiana","71,993","72,873","73,665","73,886","74,513","75,685","76,462","77,586","78,266","78,396"
"Jonesboro , Arkansas","67,263","68,998","70,440","71,604","72,303","73,763","74,797","75,938","77,234","78,394"
"Napa , California","76,915","77,679","78,168","78,728","79,384","79,636","79,616","79,083","78,946","78,130"
"Parma , Ohio","81,601","80,961","80,623","80,453","80,166","80,037","79,627","79,103","78,622","78,103"
"Layton , Utah","67,311","68,479","68,899","70,978","72,360","73,929","75,482","76,447","77,181","78,014"
"Alameda , California","73,812","74,692","75,637","76,479","77,509","78,459","79,091","79,037","78,344","77,624"
"Warner Robins , Georgia","66,588","71,523","72,522","73,253","73,859","73,991","74,950","75,394","76,365","77,617"
"Rapid  , South Dakota","67,956","69,587","70,739","71,730","72,995","73,370","74,116","75,237","76,170","77,503"
"Bloomington , Illinois","76,610","77,308","78,020","79,269","78,901","78,414","78,343","78,134","77,804","77,330"
"Gastonia , North Carolina","71,741","71,871","72,503","72,789","73,183","74,009","74,963","76,307","76,885","77,273"
"Baytown , Texas","71,802","72,500","73,311","75,334","75,926","76,286","76,369","76,693","76,592","77,192"
"Upland , California","73,732","74,465","74,933","75,188","75,542","75,970","76,374","76,778","76,833","77,140"
"Racine , Wisconsin","78,860","78,170","77,904","77,782","77,607","77,290","77,155","77,188","77,075","76,760"
"Scranton , Pennsylvania","76,089","75,926","76,024","75,831","75,443","77,149","77,235","77,214","77,017","76,653"
"South Jordan , Utah","50,418","53,309","55,842","59,142","62,446","66,034","68,545","70,929","73,837","76,598"
"Bellflower , California","76,616","76,939","77,202","77,404","77,532","77,794","77,581","77,326","76,906","76,435"
"Kalamazoo , Michigan","74,262","74,697","75,545","75,792","76,099","75,820","75,826","75,803","76,483","76,200"
"San Ramon , California","72,148","72,174","72,850","73,560","74,329","75,138","75,703","75,795","75,851","75,995"
"Bethlehem , Pennsylvania","74,982","75,061","75,040","74,852","74,966","74,966","75,273","75,546","75,742","75,815"
"Wyoming , Michigan","72,125","72,729","73,509","74,307","74,986","75,298","75,685","76,056","75,839","75,667"
"Hammond , Indiana","80,830","80,220","79,648","79,009","78,586","77,688","77,151","76,489","75,877","75,522"
"Missoula , Montana","66,788","68,078","68,877","69,487","70,227","71,292","72,779","74,077","74,882","75,516"
"Missouri  , Texas","67,358","67,441","68,107","69,314","71,076","73,611","74,359","74,617","74,834","75,457"
"Pasco , Washington","59,781","65,539","67,673","68,398","69,500","70,330","71,514","72,810","74,485","75,432"
"Baldwin Park , California","75,390","75,750","76,183","76,364","76,375","76,427","76,219","75,948","75,572","75,251"
"Iowa  , Iowa","67,862","69,201","70,182","71,454","72,831","73,497","74,587","75,690","75,696","75,130"
"Rancho Cordova , California","64,776","65,970","66,725","67,722","69,389","70,640","72,162","73,398","74,478","75,087"
"Rock Hill , South Carolina","66,154","67,593","68,131","68,788","69,690","71,183","72,460","73,414","74,458","75,048"
"Flagstaff , Arizona","65,870","66,071","67,913","68,090","68,609","69,966","71,149","72,037","73,762","75,038"
"Gary , Indiana","80,294","79,645","79,128","78,518","77,985","77,128","76,450","75,775","75,210","74,879"
"St. Joseph , Missouri","76,780","77,202","77,332","77,221","76,994","76,496","76,443","76,076","75,604","74,875"
"Arlington Heights village, Illinois","75,101","75,528","75,918","76,116","76,145","75,987","75,795","75,473","75,116","74,760"
"Bolingbrook village, Illinois","73,366","73,789","73,949","73,909","74,032","74,142","74,383","75,003","75,043","74,545"
"Rochester Hills , Michigan","70,995","71,694","72,455","73,116","73,363","73,627","73,849","74,517","74,544","74,516"
"Framingham , Massachusetts",(X),"69,656","70,061","70,411","70,786","70,938","71,459","71,784","72,909","74,416"
"Union  , California","69,516","70,597","71,642","72,552","73,481","74,343","75,465","75,227","74,560","74,107"
"Appleton , Wisconsin","72,623","72,921","73,128","73,591","74,001","74,151","74,392","74,524","74,378","74,098"
"Turlock , California","68,549","69,251","69,719","70,261","70,868","71,776","72,578","73,241","73,396","73,631"
"Camden , New Jersey","77,344","77,049","76,711","76,283","75,673","75,204","73,818","73,728","73,725","73,562"
"Bismarck , North Dakota","61,272","62,768","64,772","67,127","69,011","71,413","72,580","73,141","73,229","73,529"
"Evanston , Illinois","74,486","75,142","75,723","75,984","75,994","75,619","75,243","74,617","73,990","73,473"
"Apple Valley town, California","69,135","70,025","70,381","70,706","71,141","71,747","72,262","72,871","73,349","73,453"
"Schaumburg village, Illinois","74,227","74,551","74,775","74,911","74,903","74,651","74,592","74,039","73,388","72,887"
"Woodbury , Minnesota","61,961","63,559","64,472","65,523","66,625","67,445","68,495","69,520","71,231","72,828"
"Kissimmee , Florida","59,682","61,323","63,422","64,921","66,509","68,633","69,407","71,446","73,751","72,717"
"Southfield , Michigan","71,739","72,248","72,711","73,226","73,439","73,389","73,465","73,386","72,976","72,689"
"Maple Grove , Minnesota","61,567","63,196","64,504","65,442","66,966","68,405","69,678","70,812","71,711","72,622"
"Pittsburg , California","63,264","64,546","65,523","66,646","67,974","69,260","70,798","72,000","72,450","72,588"
"New Britain , Connecticut","73,206","73,274","73,221","73,050","73,048","73,213","72,816","72,626","72,591","72,495"
"Jacksonville , North Carolina","70,145","75,194","76,365","75,681","74,217","74,306","72,745","72,800","72,775","72,436"
"Mansfield , Texas","56,368","58,331","59,682","61,228","62,605","64,705","66,253","68,841","70,796","72,419"
"Waukesha , Wisconsin","70,718","71,224","71,717","71,775","72,009","72,375","72,405","72,516","72,453","72,299"
"Frederick , Maryland","65,239","65,954","66,402","66,827","68,275","69,372","69,881","70,947","71,945","72,244"
"Albany , Georgia","77,434","77,893","77,537","76,416","75,940","74,891","73,957","73,252","73,219","72,130"
"Pawtucket , Rhode Island","71,148","71,406","71,582","71,623","71,693","71,755","71,775","71,600","71,973","72,117"
"Redmond , Washington","54,144","55,674","56,741","57,606","59,416","60,770","62,794","64,872","67,436","71,929"
"Lauderhill , Florida","66,887","68,246","69,012","69,531","70,110","70,901","71,474","71,915","71,924","71,868"
"Lafayette , Indiana","67,140","69,916","70,163","70,976","71,012","71,143","71,960","72,110","72,233","71,721"
"Gulfport , Mississippi","67,793","68,865","69,782","70,801","71,173","71,346","71,518","71,945","71,771","71,705"
"Redlands , California","68,747","69,320","69,637","69,800","70,209","70,625","71,027","71,342","71,416","71,513"
"Weston , Florida","65,333","66,840","67,702","68,333","68,926","69,687","70,324","70,901","71,030","71,166"
"St. Charles , Missouri","65,794","66,633","66,986","68,151","68,568","69,120","69,402","70,390","70,807","71,028"
"Decatur , Illinois","76,122","75,922","75,449","74,955","74,155","73,265","72,510","71,790","71,136","70,746"
"North Port , Florida","57,357","57,726","58,416","59,113","60,323","62,244","64,371","66,272","68,438","70,724"
"North Richland Hills , Texas","63,343","64,256","65,254","67,239","68,424","69,145","69,973","70,516","70,686","70,670"
"Greenville , South Carolina","58,409","59,810","60,171","60,625","61,505","63,606","67,134","68,474","68,849","70,635"
"Bowling Green , Kentucky","58,067","60,357","61,294","62,698","63,528","64,940","66,087","67,866","68,633","70,543"
"Broomfield , Colorado","55,889","57,493","58,971","60,149","61,764","64,866","66,513","68,263","69,324","70,465"
"Canton , Ohio","73,007","73,181","73,147","72,915","72,634","72,173","71,629","71,156","70,752","70,447"
"Marysville , Washington","60,020","61,243","62,297","63,135","64,919","66,558","67,586","68,897","69,606","70,298"
"Walnut Creek , California","64,173","64,827","65,529","66,812","67,500","68,747","69,235","69,645","69,843","70,166"
"Wilmington , Delaware","70,851","70,868","71,045","71,201","71,201","71,131","70,919","70,658","70,457","70,166"
"Camarillo , California","65,201","65,515","65,656","65,882","66,517","67,171","67,141","67,403","68,883","69,888"
"Lynwood , California","69,772","69,661","70,576","71,146","71,193","71,397","70,979","70,685","70,285","69,887"
"Lehi , Utah","47,407","49,677","51,385","55,089","57,000","59,034","61,690","63,674","65,958","69,724"
"Passaic , New Jersey","69,781","70,144","69,966","70,081","70,240","70,237","70,130","70,123","69,932","69,703"
"Homestead , Florida","60,512","62,214","63,148","64,246","65,290","66,192","68,045","69,124","69,254","69,523"
"Delray Beach , Florida","60,522","61,495","62,267","64,177","65,004","66,203","67,546","68,708","69,176","69,451"
"Davis , California","65,622","65,657","65,781","66,213","66,545","67,367","68,028","68,802","69,220","69,413"
"Lake Elsinore , California","51,821","55,078","56,044","57,711","60,111","61,955","63,807","66,066","68,051","69,283"
