"City, State",2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Santa Ana , California","324,528","328,227","330,550","333,716","333,431","333,417","333,765","332,627","331,912","332,318"
"Riverside , California","303,871","309,472","312,323","315,510","317,702","320,483","323,684","326,882","329,654","331,360"
"Corpus Christi , Texas","305,215","308,103","312,390","317,043","320,765","324,672","325,786","325,568","326,307","326,586"
"Lexington-Fayette urban county, Kentucky","295,803","301,696","305,947","309,865","311,784","315,819","319,644","321,964","322,426","323,152"
"Henderson , Nevada","257,729","258,752","263,278","268,274","274,255","282,167","289,480","299,314","309,518","320,189"
"Stockton , California","291,707","295,363","297,045","297,493","301,062","304,550","307,158","310,143","311,628","312,697"
"St. Paul , Minnesota","285,068","288,872","291,280","295,054","297,655","299,915","302,948","304,913","306,960","308,096"
"Cincinnati , Ohio","296,943","296,187","296,900","297,905","298,626","299,439","299,748","301,587","302,277","303,940"
"St. Louis , Missouri","319,294","319,344","319,416","318,476","317,399","316,010","312,633","308,233","303,419","300,576"
"Pittsburgh , Pennsylvania","305,704","306,012","306,355","306,902","305,964","304,070","304,643","301,494","300,570","300,286"
"Greensboro , North Carolina","269,666","272,430","276,041","279,244","282,261","284,610","289,182","291,537","294,518","296,710"
"Lincoln , Nebraska","258,379","262,690","265,861","269,129","274,128","277,345","281,339","284,527","286,930","289,102"
"Anchorage municipality, Alaska","291,826","296,197","298,255","301,142","299,893","297,547","297,249","294,338","290,521","288,000"
"Plano , Texas","259,841","267,035","272,329","274,708","278,226","283,887","287,269","287,715","288,747","287,677"
"Orlando , Florida","238,300","243,620","249,935","255,135","262,469","270,786","278,512","281,804","285,903","287,442"
"Irvine , California","212,375","220,303","229,063","236,057","247,136","255,382","265,345","276,000","281,732","287,401"
"Newark , New Jersey","277,140","277,574","277,594","278,121","278,936","279,636","280,681","281,237","281,752","282,011"
"Durham , North Carolina","228,330","235,341","241,117","246,992","253,290","258,647","265,499","269,844","274,557","278,993"
"Chula Vista , California","243,916","248,318","252,379","256,691","259,885","264,206","266,238","269,046","270,819","274,492"
"Toledo , Ohio","287,208","285,425","283,185","282,352","280,712","279,898","278,897","276,688","274,864","272,779"
"Fort Wayne , Indiana","253,691","256,293","257,626","259,333","260,570","262,109","263,513","265,128","267,460","270,402"
"St. Petersburg , Florida","244,769","245,871","246,656","248,453","252,225","255,041","259,266","262,588","264,466","265,351"
"Laredo , Texas","236,091","241,195","245,728","249,602","252,734","255,271","257,862","259,324","260,856","262,491"
"Jersey City  , New Jersey","247,597","252,877","256,072","257,119","258,632","260,171","260,427","263,292","263,851","262,075"
"Chandler , Arizona","236,123","236,834","237,660","239,888","240,888","243,679","247,845","253,599","257,186","261,165"
"Madison , Wisconsin","233,209","236,908","239,880","243,233","245,848","248,788","252,677","255,786","257,854","259,680"
"Lubbock , Texas","229,573","233,928","236,361","239,708","244,350","247,950","251,387","254,432","256,469","258,862"
"Scottsdale , Arizona","217,385","220,816","225,191","228,887","233,949","241,073","247,953","251,396","254,479","258,069"
"Reno , Nevada","225,221","227,061","228,926","230,987","234,096","238,082","242,143","246,615","250,146","255,601"
"Buffalo , New York","261,310","260,701","260,155","260,013","259,548","258,165","256,816","256,301","255,781","255,284"
"Gilbert town, Arizona","208,453","211,466","215,916","221,626","227,308","232,401","237,139","242,695","249,914","254,114"
"Glendale , Arizona","226,721","229,304","233,588","236,869","239,964","243,103","245,903","247,784","249,955","252,381"
"North Las Vegas , Nevada","216,961","218,291","221,856","225,346","228,680","232,537","236,513","240,504","245,349","251,974"
"Winston-Salem , North Carolina","229,617","231,867","233,867","235,728","238,478","239,755","241,776","244,501","246,535","247,945"
"Chesapeake , Virginia","222,209","225,361","228,091","230,327","233,360","235,111","237,464","240,143","242,359","244,835"
"Norfolk , Virginia","242,803","243,655","246,149","245,468","246,576","246,457","245,680","244,543","243,585","242,742"
"Fremont , California","214,089","217,391","221,426","224,796","228,274","231,687","233,478","234,544","237,811","241,110"
"Garland , Texas","226,876","230,055","233,698","234,660","235,590","237,161","236,310","238,327","241,709","239,928"
"Irving , Texas","216,290","219,859","225,748","228,943","232,584","237,201","239,898","240,608","241,424","239,798"
"Hialeah , Florida","224,669","228,127","230,445","232,316","232,850","233,872","234,283","236,314","234,941","233,339"
"Richmond , Virginia","204,214","206,391","210,794","213,860","217,044","220,856","225,369","227,230","229,221","230,436"
"Boise  , Idaho","205,671","212,635","215,627","217,330","219,440","220,850","224,604","227,648","228,442","228,959"
"Spokane , Washington","208,916","209,042","209,304","210,036","211,095","212,545","215,191","217,415","219,332","222,081"
"Baton Rouge , Louisiana","229,493","228,643","228,889","228,346","227,851","227,202","226,686","224,414","222,190","220,236"
"Tacoma , Washington","198,397","199,519","201,537","202,127","203,740","206,784","210,248","213,417","216,111","217,827"
"San Bernardino , California","209,924","212,159","213,161","213,789","214,222","215,325","216,036","216,902","216,323","215,784"
