City,Area,personpersqmile2010,personpersqmile2011,personpersqmile2012,personpersqmile2013,personpersqmile2014,personpersqmile2015,personpersqmile2016,personpersqmile2017,emissionperperson2010,emissionperperson2011,emissionperperson2012,emissionperperson2013,emissionperperson2014,emissionperperson2015,emissionperperson2016,emissionperperson2017
Anaheim,50,6725,6797,6841,6877,6892,6965,7000,7010,5853,5561,5329,5102,5222,5284,5581,5764
Santa Ana,27,12020,12157,12243,12360,12349,12349,12362,12320,5729,5607,5426,5188,5301,5382,5664,5814
Riverside,81,3751,3821,3856,3895,3922,3957,3996,4036,3672,3528,3426,3367,3659,3964,4427,4839
Corpus Christi,175,1744,1761,1785,1812,1833,1855,1862,1860,5535,5337,5440,5607,5944,6228,6720,7200
Lexington-Fayette,284,1042,1062,1077,1091,1098,1112,1126,1134,4664,4343,4219,4319,4456,4670,4962,5385
Henderson,105,2455,2464,2507,2555,2612,2687,2757,2851,5591,5458,5345,5572,5371,5534,5972,6446
Stockton,62,4705,4764,4791,4798,4856,4912,4954,5002,4201,4233,4245,4244,4427,4540,4772,4866
St. Paul,62,4598,4659,4698,4759,4801,4837,4886,4918,5423,5157,4922,4682,4642,4766,5259,5896
Cincinnati,77,3856,3847,3856,3869,3878,3889,3893,3917,6827,6843,6886,6805,7089,7179,7498,7635
St. Louis,62,5150,5151,5152,5137,5119,5097,5042,4972,5782,5445,5204,5200,5241,5429,5779,6117
Pittsburgh,55,5558,5564,5570,5580,5563,5529,5539,5482,4714,4324,4053,3850,3951,4199,4706,5514
Greensboro,128,2107,2128,2157,2182,2205,2224,2259,2278,7505,7219,6787,6632,6657,6927,7513,8322
Lincoln,92,2808,2855,2890,2925,2980,3015,3058,3093,4269,4206,4125,4084,4049,4091,4338,4505
Plano,72,3609,3709,3782,3815,3864,3943,3990,3996,4770,4818,5103,5512,6118,6695,7541,8357
Orlando,105,2270,2320,2380,2430,2500,2579,2652,2684,10421,10167,9984,9860,10074,10332,11033,12232
Irvine,66,3218,3338,3471,3577,3744,3869,4020,4182,12585,11877,11081,10358,10110,9955,10126,10010
Newark,24,11548,11566,11566,11588,11622,11652,11695,11718,8992,8836,8714,8733,8595,8716,9190,9517
Durham,110,2076,2139,2192,2245,2303,2351,2414,2453,7821,7331,6928,6791,6759,6947,7394,7975
Chula Vista,50,4878,4966,5048,5134,5198,5284,5325,5381,4488,4216,4073,3970,4179,4383,4813,5147
Toledo,81,3546,3524,3496,3486,3466,3456,3443,3416,4725,4514,4474,4363,4549,4656,4943,5114
Fort Wayne,111,2286,2309,2321,2336,2347,2361,2374,2389,5527,5679,5682,5729,5682,5588,5521,5486
St. Petersburg,62,3948,3966,3978,4007,4068,4114,4182,4235,7284,6552,6281,6085,6158,6311,6581,6892
Laredo,101,2338,2388,2433,2471,2502,2527,2553,2568,3602,3694,3972,4253,4441,4400,4204,3753
Jersey City,15,16506,16858,17071,17141,17242,17345,17362,17553,8113,7785,7605,7633,7479,7536,7925,8067
Chandler,65,3633,3644,3656,3691,3706,3749,3813,3902,4701,4639,4764,4900,5091,5277,5544,5814
Madison,77,3029,3077,3115,3159,3193,3231,3282,3322,5965,5699,5696,5652,5764,5908,6302,6603
Lubbock,125,1837,1871,1891,1918,1955,1984,2011,2035,4904,4703,4641,4598,4729,4854,5100,5241
Scottsdale,184,1181,1200,1224,1244,1271,1310,1348,1366,3428,3262,3180,3131,3099,3060,3096,3200
Reno,107,2105,2122,2139,2159,2188,2225,2263,2305,5914,5510,5437,5783,5689,5992,6548,7173
Buffalo,40,6533,6518,6504,6500,6489,6454,6420,6408,2831,2745,2655,2608,2628,2741,3021,3201
Gilbert town,68,3065,3110,3175,3259,3343,3418,3487,3569,2343,2269,2307,2347,2378,2413,2472,2513
Glendale,59,3843,3887,3959,4015,4067,4120,4168,4200,3284,3210,3280,3398,3529,3677,3896,4149
North Las Vegas,98,2214,2227,2264,2299,2333,2373,2413,2454,6658,6510,6393,6622,6241,6187,6232,6202
Winston-Salem,133,1726,1743,1758,1772,1793,1803,1818,1838,5978,5248,4865,4793,4953,5402,6170,7109
Chesapeake,339,655,665,673,679,688,694,700,708,5511,4967,4833,4799,4876,5190,5768,6409
Norfolk,53,4581,4597,4644,4631,4652,4650,4635,4614,6507,5958,5688,5570,5589,5903,6620,7514
Fremont,78,2745,2787,2839,2882,2927,2970,2993,3007,8043,8759,9168,9215,9036,8427,7935,7212
Garland,57,3980,4036,4100,4117,4133,4161,4146,4181,4742,4558,4498,4537,4776,5014,5506,5939
Irving,67,3228,3281,3369,3417,3471,3540,3581,3591,13951,13332,12951,12871,13375,13881,15087,16454
Hialeah,22,10212,10369,10475,10560,10584,10631,10649,10742,4781,4594,4472,4350,4431,4513,4750,5025
Richmond,60,3404,3440,3513,3564,3617,3681,3756,3787,6572,6157,5933,5804,5767,5909,6352,7003
Boise,82,2508,2593,2630,2650,2676,2693,2739,2776,6360,6116,5874,5641,5669,5883,6325,7134
Spokane,69,3028,3030,3033,3044,3059,3080,3119,3151,4268,4258,4288,4208,4263,4279,4327,4411
Baton Rouge,86,2669,2659,2662,2655,2649,2642,2636,2609,8215,7960,7470,7390,7165,7170,7303,7525
